time_since_epoch_ms,sensor_time_ns,sensor_name,sensor_type,index,value
1476880377188,68800954216088,LGE Gyroscope,android.sensor.gyroscope,2,-0.0204925537109375
1476880377188,68800976371850,LGE Magnetometer,android.sensor.magnetic_field,0,1.8512725830078125
1476880377188,68800976371850,LGE Magnetometer,android.sensor.magnetic_field,1,16.608047485351563
1476880377188,68800976371850,LGE Magnetometer,android.sensor.magnetic_field,2,-44.02313232421875
1476880377189,68800989219750,LGE Accelerometer,android.sensor.accelerometer,0,0.7216339111328125
1476880377189,68800989219750,LGE Accelerometer,android.sensor.accelerometer,1,-0.318695068359375
1476880377189,68800989219750,LGE Accelerometer,android.sensor.accelerometer,2,9.539642333984375
1476880377189,68800974266137,LGE Gyroscope,android.sensor.gyroscope,0,-0.02667236328125
1476880377189,68800974266137,LGE Gyroscope,android.sensor.gyroscope,1,0.285888671875
1476880377189,68800974266137,LGE Gyroscope,android.sensor.gyroscope,2,-0.0612335205078125
1476880377189,68800996421899,LGE Magnetometer,android.sensor.magnetic_field,0,1.6719818115234375
1476880377189,68800996421899,LGE Magnetometer,android.sensor.magnetic_field,1,16.34082794189453
1476880377189,68800996421899,LGE Magnetometer,android.sensor.magnetic_field,2,-44.45972442626953
1476880377189,68801009269799,LGE Accelerometer,android.sensor.accelerometer,0,0.7802886962890625
1476880377189,68801009269799,LGE Accelerometer,android.sensor.accelerometer,1,-0.43841552734375
1476880377189,68801009269799,LGE Accelerometer,android.sensor.accelerometer,2,9.564788818359375
1476880377189,68800994316186,LGE Gyroscope,android.sensor.gyroscope,0,-0.07806396484375
1476880377189,68800994316186,LGE Gyroscope,android.sensor.gyroscope,1,0.203338623046875
1476880377189,68800994316186,LGE Gyroscope,android.sensor.gyroscope,2,-0.0798797607421875
1476880377189,68801016563500,LGE Magnetometer,android.sensor.magnetic_field,0,1.4926910400390625
1476880377190,68801016563500,LGE Magnetometer,android.sensor.magnetic_field,1,16.0736083984375
1476880377190,68801016563500,LGE Magnetometer,android.sensor.magnetic_field,2,-44.634246826171875
1476880377206,68801029319848,LGE Accelerometer,android.sensor.accelerometer,0,0.41278076171875
1476880377206,68801029319848,LGE Accelerometer,android.sensor.accelerometer,1,-0.3953094482421875
1476880377206,68801029319848,LGE Accelerometer,android.sensor.accelerometer,2,9.521682739257813
1476880377206,68801014366235,LGE Gyroscope,android.sensor.gyroscope,0,-0.1156158447265625
1476880377206,68801014366235,LGE Gyroscope,android.sensor.gyroscope,1,0.09014892578125
1476880377206,68801014366235,LGE Gyroscope,android.sensor.gyroscope,2,-0.045257568359375
1476880377206,68801036735619,LGE Magnetometer,android.sensor.magnetic_field,0,1.58233642578125
1476880377206,68801036735619,LGE Magnetometer,android.sensor.magnetic_field,1,16.34082794189453
1476880377206,68801036735619,LGE Magnetometer,android.sensor.magnetic_field,2,-44.634246826171875
1476880377214,68801049369897,LGE Accelerometer,android.sensor.accelerometer,0,0.374481201171875
1476880377214,68801049369897,LGE Accelerometer,android.sensor.accelerometer,1,-0.2720184326171875
1476880377214,68801049369897,LGE Accelerometer,android.sensor.accelerometer,2,9.259521484375
1476880377215,68801034416283,LGE Gyroscope,android.sensor.gyroscope,0,-0.1787261962890625
1476880377215,68801034416283,LGE Gyroscope,android.sensor.gyroscope,1,0.217987060546875
1476880377215,68801034416283,LGE Gyroscope,android.sensor.gyroscope,2,-0.059112548828125
1476880377217,30939503403950,video,capture_active,0,0.0
1476880377277,68801056877221,LGE Magnetometer,android.sensor.magnetic_field,0,1.94091796875
1476880377277,68801056877221,LGE Magnetometer,android.sensor.magnetic_field,1,16.162681579589844
1476880377277,68801056877221,LGE Magnetometer,android.sensor.magnetic_field,2,-44.547080993652344
1476880377277,68801069419946,LGE Accelerometer,android.sensor.accelerometer,0,0.7384033203125
1476880377277,68801069419946,LGE Accelerometer,android.sensor.accelerometer,1,-0.461151123046875
1476880377277,68801069419946,LGE Accelerometer,android.sensor.accelerometer,2,9.728790283203125
1476880377277,68801054466332,LGE Gyroscope,android.sensor.gyroscope,0,-0.2322540283203125
1476880377277,68801054466332,LGE Gyroscope,android.sensor.gyroscope,1,0.1460723876953125
1476880377277,68801054466332,LGE Gyroscope,android.sensor.gyroscope,2,-0.0476531982421875
